time,Europe,AL,AD,AT,BY,BE,BA,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IE,IT,XK,LV,LT,LU,MT,MD,ME,NL,MK,NO,PL,PT,RO,RS,SK,SI,ES,SE,CH,GB,UA,EU
2010,30118,0,,89,,1007,0,25,0,7,1727,7,0,7,1044,18004,202,2,1,3592,,,0,29,1,,1,90,0,9,1,134,0,1,19,12,3873,11,125,95,3,30148
2011,53563,1,,174,,1979,0,154,0,10,1913,17,0,7,3004,25914,612,4,1,13131,,,0,41,5,,1,149,2,10,1,172,1,2,496,57,4283,12,223,1000,188,53393
2012,71794,1,,337,,2647,0,1013,4,17,2022,402,0,8,4359,34075,1536,12,1,16785,,0,7,75,16,,1,369,4,10,2,238,41,3,513,142,4569,24,437,1753,372,71289
2013,81950,1,,626,1,2902,1,1020,19,35,2064,571,2,9,5277,36708,2579,35,1,18185,,0,68,95,29,,1,746,7,11,27,296,761,5,533,187,4690,43,756,2937,748,80755
2014,88813,1,0,785,4,3015,7,1026,33,64,2067,607,3,11,6034,37898,2596,89,2,18594,,0,69,110,55,1,2,1048,15,13,108,415,1293,6,533,223,4697,60,1061,5528,819,87231
2015,97280,1,0,937,13,3132,8,1029,48,76,2075,782,7,17,7138,39222,2604,172,2,18901,0,0,69,116,75,1,3,1515,17,15,187,447,1326,9,533,238,4704,104,1394,9601,841,95359
2016,103782,1,0,1096,51,3327,14,1028,56,84,2068,851,10,39,7702,40677,2604,235,6,19283,2,1,70,122,94,2,3,2049,17,27,287,513,1372,11,533,233,4713,153,1664,11930,955,101418
2017,110212,1,0,1269,153,3616,16,1036,60,110,2070,906,15,82,8610,42291,2606,344,16,19682,7,1,74,128,112,2,3,2903,17,45,562,579,1374,10,528,247,4723,402,1906,12782,1200,107239
2018,119205,1,1,1438,154,3987,18,1033,68,118,2075,998,32,140,9617,45179,2652,726,24,20108,7,2,82,131,131,4,3,4522,21,68,1,667,1386,10,472,221,4764,492,2171,13118,2003,115132
2019,138266,3,2,1578,157,4531,18,1065,69,129,2070,1079,107,215,10562,48960,2763,1277,36,20900,7,3,103,150,154,4,3,6725,26,90,300,828,1386,10,472,222,8761,644,2524,13398,5936,129891
